mpg,cylinders,displacement,horsepower,weight,acceleration,origin,name
11,8,400,150,4997,14.0,American,chevrolet impala
12,8,400,167,4906,12.5,American,ford country
13,8,360,170,4654,13.0,American,plymouth custom suburb
12,8,350,180,4499,12.5,American,oldsmobile vista cruiser
18,6,232,100,2789,15.0,American,amc gremlin
20,4,97,88,2279,19.0,Japanese,toyota carina
21,4,140,72,2401,19.5,American,chevrolet vega
22,4,108,94,2379,16.5,Japanese,datsun 610
18,3,70,90,2124,13.5,Japanese,maxda rx3
19,4,122,85,2310,18.5,American,ford pinto
21,6,155,107,2472,14.0,American,mercury capri v6
26,4,98,90,2265,15.5,European,fiat 124 sport coupe
15,8,350,145,4082,13.0,American,chevrolet monte carlo s
16,8,400,230,4278,9.5,American,pontiac grand prix
29,4,68,49,1867,19.5,European,fiat 128
24,4,116,75,2158,15.5,European,opel manta
20,4,114,91,2582,14.0,European,audi 100ls
19,4,121,112,2868,15.5,European,volvo 144ea
15,8,318,150,3399,11.0,American,dodge dart custom
24,4,121,110,2660,14.0,European,saab 99le
20,6,156,122,2807,13.5,Japanese,toyota mark ii
11,8,350,180,3664,11.0,American,oldsmobile omega
20,6,198,95,3102,16.5,American,plymouth duster
19,6,232,100,2901,16.0,American,amc hornet
15,6,250,100,3336,17.0,American,chevrolet nova
31,4,79,67,1950,19.0,Japanese,datsun b210
26,4,122,80,2451,16.5,American,ford pinto
32,4,71,65,1836,21.0,Japanese,toyota corolla 1200
25,4,140,75,2542,17.0,American,chevrolet vega
16,6,250,100,3781,17.0,American,chevrolet chevelle malibu classic
16,6,258,110,3632,18.0,American,amc matador
18,6,225,105,3613,16.5,American,plymouth satellite sebring
16,8,302,140,4141,14.0,American,ford gran torino
13,8,350,150,4699,14.5,American,buick century luxus (sw)
14,8,318,150,4457,13.5,American,dodge coronet custom (sw)
14,8,302,140,4638,16.0,American,ford gran torino (sw)
14,8,304,150,4257,15.5,American,amc matador (sw)
29,4,98,83,2219,16.5,European,audi fox
26,4,79,67,1963,15.5,European,volkswagen dasher
26,4,97,78,2300,14.5,European,opel manta
31,4,76,52,1649,16.5,Japanese,toyota corona
32,4,83,61,2003,19.0,Japanese,datsun 710
28,4,90,75,2125,14.5,American,dodge colt
24,4,90,75,2108,15.5,European,fiat 128
26,4,116,75,2246,14.0,European,fiat 124 tc
24,4,120,97,2489,15.0,Japanese,honda civic
26,4,108,93,2391,15.5,Japanese,subaru
31,4,79,67,2000,16.0,European,fiat x1.9
19,6,225,95,3264,16.0,American,plymouth valiant custom
18,6,250,105,3459,16.0,American,chevrolet nova
15,6,250,72,3432,21.0,American,mercury monarch
15,6,250,72,3158,19.5,American,ford maverick
16,8,400,170,4668,11.5,American,pontiac catalina
15,8,350,145,4440,14.0,American,chevrolet bel air
16,8,318,150,4498,14.5,American,plymouth grand fury
14,8,351,148,4657,13.5,American,ford ltd
17,6,231,110,3907,21.0,American,buick century
16,6,250,105,3897,18.5,American,chevroelt chevelle malibu
15,6,258,110,3730,19.0,American,amc matador
18,6,225,95,3785,19.0,American,plymouth fury
21,6,231,110,3039,15.0,American,buick skyhawk
20,8,262,110,3221,13.5,American,chevrolet monza 2+2
13,8,302,129,3169,12.0,American,ford mustang ii
29,4,97,75,2171,16.0,Japanese,toyota corolla
23,4,140,83,2639,17.0,American,ford pinto
20,6,232,100,2914,16.0,American,amc gremlin
23,4,140,78,2592,18.5,American,pontiac astro
24,4,134,96,2702,13.5,Japanese,toyota corona
25,4,90,71,2223,16.5,European,volkswagen dasher
24,4,119,97,2545,17.0,Japanese,datsun 710
18,6,171,97,2984,14.5,American,ford pinto
29,4,90,70,1937,14.0,European,volkswagen rabbit
19,6,232,90,3211,17.0,American,amc pacer
23,4,115,95,2694,15.0,European,audi 100ls
23,4,120,88,2957,17.0,European,peugeot 504
22,4,121,98,2945,14.5,European,volvo 244dl
25,4,121,115,2671,13.5,European,saab 99le
33,4,91,53,1795,17.5,Japanese,honda civic cvcc
28,4,107,86,2464,15.5,European,fiat 131
25,4,116,81,2220,16.9,European,opel 1900
25,4,140,92,2572,14.9,American,capri ii
26,4,98,79,2255,17.7,American,dodge colt
27,4,101,83,2202,15.3,European,renault 12tl
18,8,305,140,4215,13.0,American,chevrolet chevelle malibu classic
16,8,318,150,4190,13.0,American,dodge coronet brougham
16,8,304,120,3962,13.9,American,amc matador
15,8,351,152,4215,12.8,American,ford gran torino
22,6,225,100,3233,15.4,American,plymouth valiant
22,6,250,105,3353,14.5,American,chevrolet nova
24,6,200,81,3012,17.6,American,ford maverick
23,6,232,90,3085,17.6,American,amc hornet
29,4,85,52,2035,22.2,American,chevrolet chevette
25,4,98,60,2164,22.1,American,chevrolet woody
29,4,90,70,1937,14.2,European,vw rabbit
33,4,91,53,1795,17.4,Japanese,honda civic
20,6,225,100,3651,17.7,American,dodge aspen se
18,6,250,78,3574,21.0,American,ford granada ghia
19,6,250,110,3645,16.2,American,pontiac ventura sj
18,6,258,95,3193,17.8,American,amc pacer d/l
30,4,97,71,1825,12.2,European,volkswagen rabbit
32,4,85,70,1990,17.0,Japanese,datsun b-210
28,4,97,75,2155,16.4,Japanese,toyota corolla
27,4,140,72,2565,13.6,American,ford pinto
20,4,130,102,3150,15.7,European,volvo 245
13,8,318,150,3940,13.2,American,plymouth volare premier v8
19,4,120,88,3270,21.9,European,peugeot 504
19,6,156,108,2930,15.5,Japanese,toyota mark ii
17,6,168,120,3820,16.7,European,mercedes-benz 280s
17,8,350,180,4380,12.1,American,cadillac seville
13,8,350,145,4055,12.0,American,chevy c10
13,8,302,130,3870,15.0,American,ford f108
13,8,318,150,3755,14.0,American,dodge d100
32,4,98,68,2045,18.5,Japanese,honda accord cvcc
30,4,111,80,2155,14.8,American,buick opel isuzu deluxe
36,4,79,58,1825,18.6,European,renault 5 gtl
26,4,122,96,2300,15.5,American,plymouth arrow gs
34,4,85,70,1945,16.8,Japanese,datsun f-10 hatchback
18,8,305,145,3880,12.5,American,chevrolet caprice classic
17,8,260,110,4060,19.0,American,oldsmobile cutlass supreme
16,8,318,145,4140,13.7,American,dodge monaco brougham
15,8,302,130,4295,14.9,American,mercury cougar brougham
18,6,250,110,3520,16.4,American,chevrolet concours
21,6,231,105,3425,16.9,American,buick skylark
19,6,225,100,3630,17.7,American,plymouth volare custom
19,6,250,98,3525,19.0,American,ford granada
16,8,400,180,4220,11.1,American,pontiac grand prix lj
16,8,350,170,4165,11.4,American,chevrolet monte carlo landau
16,8,400,190,4325,12.2,American,chrysler cordoba
16,8,351,149,4335,14.5,American,ford thunderbird
29,4,97,78,1940,14.5,European,volkswagen rabbit custom
25,4,151,88,2740,16.0,American,pontiac sunbird coupe
26,4,97,75,2265,18.2,Japanese,toyota corolla liftback
26,4,140,89,2755,15.8,American,ford mustang ii 2+2
31,4,98,63,2051,17.0,American,chevrolet chevette
34,4,98,83,2075,15.9,American,dodge colt m/m
30,4,97,67,1985,16.4,Japanese,subaru dl
31,4,97,78,2190,14.1,European,volkswagen dasher
22,6,146,97,2815,14.5,Japanese,datsun 810
22,4,121,110,2600,12.8,European,bmw 320i
22,3,80,110,2720,13.5,Japanese,mazda rx-4
43,4,90,48,1985,21.5,European,volkswagen rabbit custom diesel
36,4,98,66,1800,14.4,American,ford fiesta
33,4,78,52,1985,19.4,Japanese,mazda glc deluxe
39,4,85,70,2070,18.6,Japanese,datsun b210 gx
36,4,91,60,1800,16.4,Japanese,honda civic cvcc
20,8,260,110,3365,15.5,American,oldsmobile cutlass salon brougham
19,8,318,140,3735,13.2,American,dodge diplomat
20,8,302,139,3570,12.8,American,mercury monarch ghia
19,6,231,105,3535,19.2,American,pontiac phoenix lj
21,6,200,95,3155,18.2,American,chevrolet malibu
20,6,200,85,2965,15.8,American,ford fairmont (auto)
25,4,140,88,2720,15.4,American,ford fairmont (man)
21,6,225,100,3430,17.2,American,plymouth volare
19,6,232,90,3210,17.2,American,amc concord
21,6,231,105,3380,15.8,American,buick century special
21,6,200,85,3070,16.7,American,mercury zephyr
19,6,225,110,3620,18.7,American,dodge aspen
18,6,258,120,3410,15.1,American,amc concord d/l
19,8,305,145,3425,13.2,American,chevrolet monte carlo landau
18,6,231,165,3445,13.4,American,buick regal sport coupe (turbo)
18,8,302,139,3205,11.2,American,ford futura
18,8,318,140,4080,13.7,American,dodge magnum xe
30,4,98,68,2155,16.5,American,chevrolet chevette
28,4,134,95,2560,14.2,Japanese,toyota corona
27,4,119,97,2300,14.7,Japanese,datsun 510
31,4,105,75,2230,14.5,American,dodge omni
21,4,134,95,2515,14.8,Japanese,toyota celica gt liftback
23,4,156,105,2745,16.7,American,plymouth sapporo
24,4,151,85,2855,17.6,American,oldsmobile starfire sx
24,4,119,97,2405,14.9,Japanese,datsun 200-sx
20,5,131,103,2830,15.9,European,audi 5000
17,6,163,125,3140,13.6,European,volvo 264gl
22,4,121,115,2795,15.7,European,saab 99gle
16,6,163,133,3410,15.8,European,peugeot 604sl
32,4,89,71,1990,14.9,European,volkswagen scirocco
30,4,98,68,2135,16.6,Japanese,honda accord lx
22,6,231,115,3245,15.4,American,pontiac lemans v6
20,6,200,85,2990,18.2,American,mercury zephyr 6
22,4,140,88,2890,17.3,American,ford fairmont 4
20,6,232,90,3265,18.2,American,amc concord dl 6
21,6,225,110,3360,16.6,American,dodge aspen 6
17,8,305,130,3840,15.4,American,chevrolet caprice classic
18,8,302,129,3725,13.4,American,ford ltd landau
17,8,351,138,3955,13.2,American,mercury grand marquis
18,8,318,135,3830,15.2,American,dodge st. regis
17,8,350,155,4360,14.9,American,buick estate wagon (sw)
16,8,351,142,4054,14.3,American,ford country squire (sw)
19,8,267,125,3605,15.0,American,chevrolet malibu classic (sw)
19,8,360,150,3940,13.0,American,chrysler lebaron town @ country (sw)
32,4,89,71,1925,14.0,European,vw rabbit custom
34,4,86,65,1975,15.2,Japanese,maxda glc deluxe
36,4,98,80,1915,14.4,American,dodge colt hatchback custom
27,4,121,80,2670,15.0,American,amc spirit dl
25,5,183,77,3530,20.1,European,mercedes benz 300d
23,8,350,125,3900,17.4,American,cadillac eldorado
27,4,141,71,3190,24.8,European,peugeot 504
24,8,260,90,3420,22.2,American,oldsmobile cutlass salon brougham
34,4,105,70,2200,13.2,American,plymouth horizon
35,4,105,70,2150,14.9,American,plymouth horizon tc3
32,4,85,65,2020,19.2,Japanese,datsun 210
37,4,91,69,2130,14.7,European,fiat strada custom
28,4,151,90,2670,16.0,American,buick skylark limited
29,6,173,115,2595,11.3,American,chevrolet citation
27,6,173,115,2700,12.9,American,oldsmobile omega brougham
34,4,151,90,2556,13.2,American,pontiac phoenix
42,4,98,76,2144,14.7,European,vw rabbit
38,4,89,60,1968,18.8,Japanese,toyota corolla tercel
32,4,98,70,2120,15.5,American,chevrolet chevette
37,4,86,65,2019,16.4,Japanese,datsun 310
28,4,151,90,2678,16.5,American,chevrolet citation
26,4,140,88,2870,18.1,American,ford fairmont
24,4,151,90,3003,20.1,American,amc concord
19,6,225,90,3381,18.7,American,dodge aspen
34,4,97,78,2188,15.8,European,audi 4000
30,4,134,90,2711,15.5,Japanese,toyota corona liftback
31,4,120,75,2542,17.5,Japanese,mazda 626
37,4,119,92,2434,15.0,Japanese,datsun 510 hatchback
32,4,108,75,2265,15.2,Japanese,toyota corolla
47,4,86,65,2110,17.9,Japanese,mazda glc
28,4,156,105,2800,14.4,American,dodge colt
41,4,85,65,2110,19.2,Japanese,datsun 210
44,4,90,48,2085,21.7,European,vw rabbit c (diesel)
43,4,90,48,2335,23.7,European,vw dasher (diesel)
36,5,121,67,2950,19.9,European,audi 5000s (diesel)
30,4,146,67,3250,21.8,European,mercedes-benz 240d
45,4,91,67,1850,13.8,Japanese,honda civic 1500 gl
34,4,97,67,2145,18.0,Japanese,subaru dl
30,4,89,62,1845,15.3,European,vokswagen rabbit
33,6,168,132,2910,11.4,Japanese,datsun 280-zx
24,3,70,100,2420,12.5,Japanese,mazda rx-7 gs
35,4,122,88,2500,15.1,European,triumph tr7 coupe
32,4,107,72,2290,17.0,Japanese,honda accord
27,4,135,84,2490,15.7,American,plymouth reliant
27,4,151,84,2635,16.4,American,buick skylark
26,4,156,92,2620,14.4,American,dodge aries wagon (sw)
24,6,173,110,2725,12.6,American,chevrolet citation
30,4,135,84,2385,12.9,American,plymouth reliant
39,4,79,58,1755,16.9,Japanese,toyota starlet
39,4,86,64,1875,16.4,American,plymouth champ
35,4,81,60,1760,16.1,Japanese,honda civic 1300
32,4,97,67,2065,17.8,Japanese,subaru
37,4,85,65,1975,19.4,Japanese,datsun 210 mpg
38,4,89,62,2050,17.3,Japanese,toyota tercel
34,4,91,68,1985,16.0,Japanese,mazda glc 4
35,4,105,63,2215,14.9,American,plymouth horizon 4
34,4,98,65,2045,16.2,American,ford escort 4w
30,4,98,65,2380,20.7,American,ford escort 2h
33,4,105,74,2190,14.2,European,volkswagen jetta
34,4,107,75,2210,14.4,Japanese,honda prelude
32,4,108,75,2350,16.8,Japanese,toyota corolla
33,4,119,100,2615,14.8,Japanese,datsun 200sx
32,4,120,74,2635,18.3,Japanese,mazda 626
28,4,141,80,3230,20.4,European,peugeot 505s turbo diesel
31,6,145,76,3160,19.6,European,volvo diesel
25,6,168,116,2900,12.6,Japanese,toyota cressida
24,6,146,120,2930,13.8,Japanese,datsun 810 maxima
22,6,231,110,3415,15.8,American,buick century
27,8,350,105,3725,19.0,American,oldsmobile cutlass ls
20,6,200,88,3060,17.1,American,ford granada gl
18,6,225,85,3465,16.6,American,chrysler lebaron salon
28,4,112,88,2605,19.6,American,chevrolet cavalier
27,4,112,88,2640,18.6,American,chevrolet cavalier wagon
34,4,112,88,2395,18.0,American,chevrolet cavalier 2-door
31,4,112,85,2575,16.2,American,pontiac j2000 se hatchback
29,4,135,84,2525,16.0,American,dodge aries se
27,4,151,90,2735,18.0,American,pontiac phoenix
24,4,140,92,2865,16.4,American,ford fairmont futura
36,4,105,74,1980,15.3,European,volkswagen rabbit l
37,4,91,68,2025,18.2,Japanese,mazda glc custom l
31,4,91,68,1970,17.6,Japanese,mazda glc custom
38,4,105,63,2125,14.7,American,plymouth horizon miser
36,4,98,70,2125,17.3,American,mercury lynx l
36,4,120,88,2160,14.5,Japanese,nissan stanza xe
36,4,107,75,2205,14.5,Japanese,honda accord
34,4,108,70,2245,16.9,Japanese,toyota corolla
38,4,91,67,1965,15.0,Japanese,honda civic
32,4,91,67,1965,15.7,Japanese,honda civic (auto)
38,4,91,67,1995,16.2,Japanese,datsun 310 gx
25,6,181,110,2945,16.4,American,buick century limited
38,6,262,85,3015,17.0,American,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,14.5,American,chrysler lebaron medallion
22,6,232,112,2835,14.7,American,ford granada l
32,4,144,96,2665,13.9,Japanese,toyota celica gt
36,4,135,84,2370,13.0,American,dodge charger 2.2
27,4,151,90,2950,17.3,American,chevrolet camaro
27,4,140,86,2790,15.6,American,ford mustang gl
44,4,97,52,2130,24.6,European,vw pickup
32,4,135,84,2295,11.6,American,dodge rampage
28,4,120,79,2625,18.6,American,ford ranger
31,4,119,82,2720,19.4,American,chevy s-10
